,time,drink,amount
0,30-12-2020 15:15,Sweet Sangria,4
1,31-12-2020 18:02,Grim Reaper,4
2,30-12-2020 00:01,Kool-Aid Slammer,3
3,26-12-2020 21:58,Margarita,7.5
4,27-12-2020 20:51,Margarita,7.5
5,27-12-2020 23:21,Valencia Cocktail,5.5
6,30-12-2020 08:01,Orgasm,5.15
7,25-12-2020 22:16,Casino Royale,11
8,26-12-2020 19:15,Sidecar,11
9,27-12-2020 12:46,Zimadori Zinger,12
10,26-12-2020 21:40,Shark Attack,6.5
11,30-12-2020 05:34,Daiquiri,11
12,28-12-2020 20:53,Veteran,8
13,26-12-2020 13:42,Munich Mule,12
14,29-12-2020 03:04,City Slicker,4
15,31-12-2020 19:52,Mint Julep,8
16,28-12-2020 01:19,Fruit Cooler,8
17,25-12-2020 18:13,Lassi - Sweet,8
18,26-12-2020 07:56,Clover Club,4.99
19,30-12-2020 18:12,Victory Collins,7.5
20,28-12-2020 03:43,Kurant Tea,3
21,30-12-2020 19:31,Bubble Gum,3
22,30-12-2020 19:01,Egg Nog - Healthy,11
23,29-12-2020 18:49,Imperial Cocktail,4.99
24,26-12-2020 18:02,Kool-Aid Slammer,3
25,30-12-2020 16:57,Long Island Iced Tea,3
26,31-12-2020 22:50,Frisco Sour,4
27,25-12-2020 17:52,Dry Rob Roy,5.5
28,27-12-2020 07:00,Gin Fizz,2.99
29,28-12-2020 06:23,John Collins,6.5
30,31-12-2020 15:48,Grizzly Bear,12
31,30-12-2020 00:25,Sweet Sangria,4
32,29-12-2020 02:25,Vampiro,11
33,31-12-2020 20:05,Lemon Drop,2.99
34,27-12-2020 19:28,Margarita,7.5
35,26-12-2020 21:40,Nuked Hot Chocolate,12
36,26-12-2020 18:27,Imperial Cocktail,4.99
37,27-12-2020 22:56,Thai Coffee,5.5
38,28-12-2020 22:56,Long Island Tea,8
39,30-12-2020 00:34,Hawaiian Cocktail,6.5
40,29-12-2020 23:24,Sweet Tooth,2.99
41,26-12-2020 09:44,Hawaiian Cocktail,6.5
42,28-12-2020 14:35,Winter Rita,5.5
43,28-12-2020 01:09,Old Fashioned,5.5
44,26-12-2020 21:12,Kool First Aid,5
45,31-12-2020 18:56,Irish Coffee,7.5
46,28-12-2020 20:09,Rusty Nail,4
47,26-12-2020 07:03,Long Island Tea,8
48,29-12-2020 19:43,Hawaiian Cocktail,6.5
49,26-12-2020 14:07,Manhattan,4.2
50,31-12-2020 14:27,Casino,6.5
51,28-12-2020 21:40,Hemingway Special,3.5
52,28-12-2020 01:24,Bob Marley,4
53,26-12-2020 17:26,Adam,3.5
54,27-12-2020 08:31,Godfather,6.5
55,30-12-2020 06:07,Queen Charlotte,8
56,31-12-2020 14:16,Porto flip,4.99
57,31-12-2020 13:20,Cosmopolitan,2.99
58,26-12-2020 09:10,Vesuvio,3
59,29-12-2020 06:36,Creme de Menthe,3.5
60,25-12-2020 16:52,Pysch Vitamin Light,6.5
61,26-12-2020 20:08,Cosmopolitan,2.99
62,27-12-2020 15:20,Zippy's Revenge,5
63,26-12-2020 00:08,Radioactive Long Island Iced Tea,7.5
64,27-12-2020 19:58,Kiwi Papaya Smoothie,5.15
65,29-12-2020 13:04,Jewel Of The Nile,6.5
66,27-12-2020 11:31,Negroni,2.99
67,26-12-2020 17:25,Frosé,2.99
68,30-12-2020 23:21,Munich Mule,12
69,26-12-2020 08:54,Zimadori Zinger,12
70,26-12-2020 08:51,Cosmopolitan,2.99
71,29-12-2020 04:15,Veteran,8
72,27-12-2020 02:46,Lassi Raita,6.5
73,31-12-2020 15:33,Margarita,7.5
74,28-12-2020 09:24,Zippy's Revenge,5
75,29-12-2020 06:12,Boxcar,5.15
76,25-12-2020 21:43,Hawaiian Cocktail,6.5
77,30-12-2020 11:05,Coffee Liqueur,5.5
78,27-12-2020 01:30,Royal Gin Fizz,7.5
79,29-12-2020 08:11,Owen's Grandmother's Revenge,8
80,29-12-2020 06:29,Bob Marley,4
81,28-12-2020 16:34,Vesuvio,3
82,28-12-2020 13:17,Nuked Hot Chocolate,12
83,29-12-2020 23:58,City Slicker,4
84,30-12-2020 15:53,Vodka And Tonic,11
85,26-12-2020 08:38,Bellini,2.99
86,31-12-2020 12:51,English Highball,7.5
87,28-12-2020 10:55,Long Island Tea,8
88,30-12-2020 23:45,Jelly Bean,3
89,28-12-2020 15:14,Mocha-Berry,8
90,30-12-2020 21:10,Gimlet,4.2
91,27-12-2020 00:52,Hawaiian Cocktail,6.5
92,26-12-2020 14:48,Chocolate Milk,5.15
93,26-12-2020 11:17,Bijou,4
94,28-12-2020 17:59,Margarita,7.5
95,31-12-2020 02:50,Lemon Drop,2.99
96,31-12-2020 13:04,Flaming Lamborghini,3
97,31-12-2020 04:42,Bellini,2.99
98,31-12-2020 23:29,Casino,6.5
99,29-12-2020 23:32,Funk and Soul,5.15
100,29-12-2020 02:39,Negroni,2.99
101,31-12-2020 22:19,Long Island Iced Tea,3
102,30-12-2020 15:26,Gin Fizz,2.99
103,31-12-2020 14:20,Tuxedo Cocktail,12
104,27-12-2020 05:23,Hawaiian Cocktail,6.5
105,29-12-2020 10:40,Munich Mule,12
106,27-12-2020 14:38,Whitecap Margarita,4.99
107,26-12-2020 00:12,Paradise,4.2
108,26-12-2020 20:12,Casino,6.5
109,30-12-2020 02:27,Boxcar,5.15
110,26-12-2020 19:59,Owen's Grandmother's Revenge,8
111,30-12-2020 06:24,Sweet Sangria,4
112,29-12-2020 18:40,Barracuda,4.2
113,26-12-2020 15:44,Mai Tai,11
114,27-12-2020 05:41,Cuba Libre,4.2
115,28-12-2020 16:16,Affinity,2.99
116,29-12-2020 09:01,Affair,8
117,27-12-2020 09:29,Lord And Lady,8
118,30-12-2020 01:48,Lassi - Sweet,8
119,26-12-2020 21:59,Imperial Cocktail,4.99
120,31-12-2020 16:32,Margarita,7.5
121,31-12-2020 06:46,Oatmeal Cookie,4.99
